deptCode,courseNum,courseName,courseDescription,courseNotes,semester,min_credits,max_credits
AIAS,4101, Modern Standard Arabic, This course integrates the four language skills to help students develop their ability to produce and comprehend both oral and written discourse at the advanced/advanced high level. The material addresses linguistic needs at this level and provides students with opportunities to further develop their understanding of the various aspects of Egyptian culture., N/A, Offered in summer.,4,4
AIAS,4301, Egyptian Colloquial Arabic," This course further develops students’ skills in Egyptian colloquial Arabic in general while emphasizing the shared features between ECA and MSA. The course concentrates on increasing students’ vocabulary and command of syntax, with a higher level of fluency. The material designed to train students to emulate the speech of educated native speakers in a wide range of social situations.", N/A, Offered in summer.,4,4
AIAS,5121," Reading, Writing And Vocabulary Building"," This course fosters and further develops the student’s ability to read long, authentic texts on a wide range of topics with minimal dependency on the dictionary. Students are trained to extend their reading strategies and knowledge of different genres and styles. Special emphasis is placed upon vocabulary building and the idiomatic use Arabic. The writing component is integrated whereby students employ and manipulate syntactic and morphological structures studied in the reading component, in addition to various cohesive devices, to produce complex sentences at the paragraph and text level, according to the mores of connected Arabic written discourse.", N/A, Offered in fall.,5,5
AIAS,5151, Listening And Speaking," This course further develops students’ skill in comprehending large chunks of authentic spoken MSA in different forms of discourse (reports, interviews, debates, etc.). It integrates listening and speaking skills by training students to carry out discussion on various topics of general and personal interest. The course includes a number of live lectures given by specialists in different fields of interests.", N/A, Offered in fall.,3,3
AIAS,5152, Academic Listening and Speaking," This course fosters and further develops the students’ ability to understand the main ideas and most details of connected academic and discourse in a variety of fields. It does so by teaching strategies to sustain both comprehension and delivery of propositionally and linguistically complex extended aural/oral discourse. These include training students to recognize and use cohesive devices signaling the sequence of thought in a given text, enabling them to follow MSA-ECA code-switching and code-mixing patterns, as well as sensitizing them to the socio-cultural nuances embedded in the spoken message.", N/A, Offered in spring.,3,3
AIAS,5201, Advanced Translation," This course fosters and develops students’ skills in translating written texts of different genres. Attention is given to points of contrast, idiomatic usage, and semantic fields of corresponding vocabulary in English and Arabic. Most work is done on translating from Arabic into English, with special attention given to developing the skills necessary for the preservation of the finer nuances of meaning when rendering a text from one language to another.", N/A, Offered in spring.,3,3
AIAS,5261, Advanced Media," This course further develops the students’ critical reading skills of linguistically and conceptually complex texts in Arabic printed media. It does so by exposing the students to different text types on a variety of topics, many outside their respective immediate spheres of interest or specialization. It encourages learners to make inferences based on comprehension of the facts presented in a text through sensitizing them to the socio-cultural nuances embedded in the written message. The course also focuses on vocabulary building and trains learners to recognize the special stylistics properties of media language.", N/A, Offered in spring.,3,3
AIAS,5271, Advanced Writing," This course fosters and develops students’ ability to write, with a high degree of precision and detail, on a variety of academic topics. It also trains them to observe the well-defined rules of Arabic letter-writing. The course teaches the students to write extended research papers, reports and essays, performing various language functions beyond descriptions, comparisons etc., such as argumentation, hypothesizing, refutation etc. Students are trained to appraise samples of authentic written material and model their own written production on them, demonstrating a solid command of grammar (syntax and morphology), vocabulary use, spelling, cohesive devices and general stylistic norms of Arabic discourse.", N/A, Offered in spring,3,3
AIAS,5301, Egyptian Colloquial Arabic," This course further develops students’ skill to communicate in Egyptian colloquial. It concentrates on complex vocabulary and syntax and enables students to communicate with native speakers in a wide range of situations with high level of accuracy and fluency. Special emphasis is placed upon educated Egyptian Arabic as well as appropriateness of speech, and cultural competency.", N/A, Offered in fall.,3,3
AIAS,5411, Advanced Egyptian Colloquial Arabic," This course further develops students’ ability to communicate with native speakers in a wide range of situations with a higher degree of accuracy, fluency, and cultural appropriateness. The course trains students to comprehend and discuss topics of general and personal interest. The materials used reflect the dynamics of Egyptian society and focus on educated Egyptian Arabic.", N/A, Offered in Spring.,3,3
AIAS,5601, CASA Students without Boarders," This course empowers students to engage in significant learning experiences, develop intercultural competence, work on superior level language proficiency skills, and establish social networks by engaging in the target language community through a project related to their academic and/or professional interests. Each student will design and complete a project related to their academic and/or professional interests that requires their engagment with the target language community. The project will span the fall and spring semesters. Each student will work with a supervising teacher with whom they will write a contract specifying the nature of their project. The project may include volunteer service in a local organization. Projects involving service to the community are highly encouraged.", N/A, Offered in spring.,3,3
AIAS,5991, Selected Topics in Arabic," Each course addresses a different topic of interest to advanced plus/superior Arabic language students. Topics covered are chosen by the students each semester. Some examples of topics include: Arab literature, politics in the Middle East, and religious studies.", N/A, Offered in spring.,3,3
ALIN,101,102, Develops a fundamental working knowledge of the language through interactive exercises and drills within a framework of the essentials of syntax and morphology. Six credits are taken simultaneously in a two semester sequence.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,105, 106/1151, Develops students’ ability to listen and understand Modern Standard Arabic.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,111,112, Introduces students to the spoken Arabic of Cairo. Concentrates on enabling students to communicate effectively in daily life. Targets high-frequency vocabulary and social situations and emphasizes pronunciation.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,121, 122/1111," Develops basic writing skills useful in daily life. Trains students to summarize short informative passages and complete practical tasks such as filling out forms, writing messages, telegrams, invitations, etc."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring,3,3
ALIN,131, 132/1131, Introduces students to the basic format of the Egyptian newspaper and acquaints them with the vocabulary and syntax of the Arabic press through the reading of simple news items.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring,3,3
ALIN,133, 134/1133, Exposes students with some background in printed media to broadcast news media. Drills students in vocabulary and syntax and helps them develop strategies for listening comprehension.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring,3,3
ALIN,171, 172/1211," Introduces students to the Qur’an, its structure, and a selection of its simpler verses. Addresses basic grammatical issues, while focusing on comprehension, oral repetition, and correct reading.."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,191, 192/1991," Study of a selected topic according to the students’ level and interests. Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", N/A, Offered in fall and spring.,3,3
ALIN,201,202," Emphasizes the acquisition of vocabulary and increases the command of grammatical and syntactical structures. Further develops reading, writing, listening, and speaking skills. Two semester sequence."," Any two consecutive can be taken simultaneously. Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,205, 206/1231, Examines the basic features of Arabic grammar with particular attention to the system of i’rab. Reference is also made to the Western system of grammatical terminology.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,207, 208/2141, Uses selected written material to prepare students to engage in discussions in Modern Standard Arabic.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,209, 210/2151, Develops students’ listening skills while expanding their vocabulary in wide range topics and increases their ability to speak and comprehend details by using selected authentic video and audio tapes.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,211, 212/2301," Concentrates on increasing student’s vocabulary and command of syntax, with a higher level of fluency. Enables students to communicate with native speakers in a wide variety of social situations."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,221, 222/2111," .Develops students’ ability to meet short practical writing needs. Trains students to summarize informative and narrative passages, gradually introducing more complex structures.."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring,3,3
ALIN,225, 226/2121," Develops reading and writing by integrating the two skills in one course and introducing a wide variety of modern Arabic texts to be used for reading and a basis for writing assignments. The course develops the students’ reading comprehension, vocabulary acquisition and acquaints them with the style of the Arabic essay. It prepares the student for the more sophisticated course in advanced reading and writing."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in Fall and Spring.,3,3
ALIN,231, 232/2131," Exposes students to a wider range of topics selected from the Arabic press. Emphasizes vocabulary and idiom acquisition, and begins to develop students’ ability to read for speed."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring,3,3
ALIN,233, 234/2133," Further develops students’ listening skills while expanding their vocabulary, especially in the areas of politics and economics. Increases their ability to comprehend details."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,241, 242/2201," Translation close reading and analysis of Arabic texts covering a wide range of topics, the course employs translation into English as a means to enhance students’ knowledge of Arabic vocabulary, idiomatic expressions and complex structures. Translation from English into Arabic is used to train students to produce coherent and correct Arabic texts. Issues and techniques related to the practice of translation are dealt with, but the primary focus is on Arabic language learning"," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,271, 272/2211," Introduces a wide selection of verses, thoroughly addressing grammatical and syntactical issues. Trains students to recite with great precision."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,281, 282/2241, N/A," Acquaints students with the terminology and style of selected political texts. Covers elections, the party system, public policy, etc.", Offered in fall and spring.,3,3
ALIN,291, 292/2991," Study of a selected topic according to the students’ level and interests. Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", N/A," Offered in fall, winter and spring.",3,3
ALIN,301, 302/3101," Through the reading and analysis of selected texts, the course exposes students to a wide range of vocabulary, idiom, and style, while reviewing the major topics of grammar."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,305, 306/3231, Examines the complexities of Arabic grammar through textual analysis.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,307, 308/3141," Further develops students’ ability to communicate orally in Modern Standard Arabic. Students present lectures, followed by question and answer sessions, and engage in debates and discussions."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,309, 310/3151," Further develops students’ listening and speaking skills by using selected authentic video and audio tapes, thus trains students to comprehend, communicate and discuss material in Modern Standard Arabic"," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,311, 312/3301," Develops students’ ability to express themselves more precisely and fluently. Uses authentic material, whether recorded or written, to encourage discussion."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,321, 322/3111," Equips students to write at greater length using a variety of techniques, including description, comparison, contrast, argumentation, etc. Refines students’ ability to write cohesive summaries."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,325, 326/3121, Further develops reading and writing by integrating the two skills in one course and exposing the students to a wide variety of modern Arabic texts focusing on the different stylistic devices. Emphasis on analytic reading and essay writing.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,331, 332/3131, Introduces more complex and analytical articles and editorials from the Arabic press. Further develops students’ ability to skim.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,333, 334/3133, Trains students to take notes while listening to broadcasts. Expands their range of vocabulary and develops their ability to listen to lengthier passages.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,341, 342/3201," Focus is more on problems and issues of translation where students are expected to produce coherent, culturally sensitive texts in both languages. Length and level of complexity of source language texts are increased."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,353, 354/3252, Introduces students to the genre through the reading of some representative novels or plays written by well known Arab writers.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered occasionally.,3,3
ALIN,371, 372/3211," Permits an in-depth reading and discussion of Qur’anic passages in addition to the tafsir of some verses. Addresses finer grammatical and syntactical issues as necessary, and refines students’ reading and recitation."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered occasionally.,3,3
ALIN,381, 382/3241, An issue-oriented course which explores the writings of modern political scientists.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,3,3
ALIN,391, 392/3991," Study of a selected topic according to the students’ level and interests. Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", N/A, Offered in fall and spring.,3,3
ALIN,2221, Applied Morphology," Explore the morphological framework of the language in detail. A wide variety of drills introduces students to the root and patter system of the language and helps then navigate it more effectively. Targets phonology to highlights the intrinsic link between pattern and meaning, thus improving oral/aural skills. Devotes considerable attention to the derived verb system, addressing such essential concepts as transitivity.", N/A, Offered occasionally.,3,3
ALIN,2251, Readings in Modern Arabic Literature, The course introduces students to a variety of prose and poetry selected from works of significant modern and/or contemporary Arab authors. Focuses on expanding students’ vocabulary and strengthening their command of syntax.," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in fall and spring.,2,3
ALIN,2411, Introduction to Egyptian Culture," Develops language through further understanding of culture. Introduces different aspects of Egyptian culture, with emphasis on customs, traditions, family, the role of religion in society, women and social strata. Medium of instruction is combination of both intermediate Modern Standard and Egyptian Spoken Arabic. Uses authentic material whether recorded or written to encourage discussion.", N/A, Offered in fall and spring.,2,3
ALIN,3251, Readings in Modern Arabic Literature," The course acquaints students with a selection of prose and poetry including at least one novel, by prominent authors from several Arab countries. Sheds light on the socio-cultural backdrop of the works discussed. Both intensive and extensive reading strategies are developed and students demonstrate their comprehensive of the texts and their ability to analyze them through discussion and lengthy writing assignments."," Prerequisites are not listed for every course. However, entry into all intermediate and advanced presupposes that the student is of intermediate or advanced standing. The instructor’s permission may also be required. Standing will be determined by written and/or oral placement tests for incoming students and sometimes for continuing students.", Offered in spring.,3,3
ALIN,3411, Introduction to Egyptian Culture," Further develops language to meet the advanced level of Arabic language students through further understanding of culture. Introduces different aspects of Egyptian culture, emphasis on customs, traditions, family structure, the role of religion in society, women and social strata. Medium of instruction is combination of both advanced Modern Standard and Egyptian Spoken Arabic. Uses authentic material whether recorded or written to encourage discussion.", N/A, Offered in fall and spring.,2,3
ALIS,101,102, Develops a fundamental working knowledge of the language through interactive exercises and drills within a framework of the essentials of syntax and morphology. Each course meets 7 or 10 hours in summer., N/A, N/A,3,3
ALIS,111,112, Introduces students to the spoken Arabic of Cairo. Concentrates on enabling students to communicate effectively in daily life. Targets high-frequency vocabulary and social situations and emphasizes pronunciation. Each course meets seven hours per week., N/A, N/A,3,3
ALIS,121, 122/1111," Develops basic writing skills useful in daily life. Trains students to summarize short informative passages and complete practical tasks such as filling out forms, writing messages, invitations, etc. Each course meets three or five hours per week.", N/A, N/A,3,3
ALIS,131, 132/1131, Introduces students to the basic format of the Egyptian newspaper and acquaints them with the vocabulary and syntax of the Arabic press through the reading of simple news items. Each course meets three or five hours per week., N/A, N/A,3,3
ALIS,171, 172/1211," Introduces students to the Qur’an, its structure, and a selection of its simpler verses. Addresses basic grammatical issues, while focusing on comprehension, oral repetition, and correct reading. Each course meets three hours per week.", N/A, N/A,3,3
ALIS,191, 192/1991, Study of a selected topic according to the students’ level and interests., N/A, Offered in summer.,3,3
ALIS,201,202," Emphasis the acquisition of vocabulary and increases the command of grammatical and syntactical structures. Further develops reading, writing, listening and speaking skills. Any two consecutive courses can be taken simultaneously. Each course meets 7 or 10 hours in summer.", N/A, N/A,3,3
ALIS,211, 212/2301," Concentrates on increasing student’s vocabulary and command of syntax, with a higher level of fluency. Enables students to communicate with native speakers in a wide variety of social situations. Each course meets five or seven hours per week.", N/A, N/A,3,3
ALIS,221, 222/2111," Develops students’ ability to meet short practical writing needs. Trains students to summarize informative and narrative passages, gradually introducing more complex structures. Each course meets three or five hours per week .", N/A, N/A,3,3
ALIS,231, 232/2131," Exposes students to a wider range of topics selected from the Arabic press. Emphasizes vocabulary and idiom acquisition, and begins to develop students’ ability to read for speed. Each course meets three or five hours per week.", N/A, N/A,3,3
ALIS,233, 234/2133," Further develops students’ listening skills while expanding their vocabulary, especially in the areas of politics and economics. Increases their ability to comprehend details. Each course meets three or five hours per week.", N/A, N/A,3,3
ALIS,241, 242/2201," Translation of close reading and analysis of Arabic texts covering a wide range of topics. The course employs translation into English as a means to enhance students' knowledge of Arabic vocabulary, idiomatic expressions and complex structures. Translation from English into Arabic is used to train students to produce coherent and correct Arabic texts. Issues and techniques related to the practice of translation are dealt with, but the primary focus is on Arabic language learning", N/A, N/A,3,3
ALIS,271, 272/2211," Introduces a wide selection of verses, thoroughly addressing grammatical and syntactical issues. Trains students to recite with great precision. Each course meets three or five hours per week.", N/A, N/A,3,3
ALIS,291, 292/2991, Study of a selected topic according to the students’ level and interests., N/A, Offered in summer.,3,3
ALIS,301, 302/3101," Through the reading and analysis of selected texts, the course exposes students to a wide range of vocabulary, idiom, and style, while reviewing the major topics of grammar. Each course meets 7 or 10 hours in summer.", N/A, N/A,3,3
ALIS,311, 312/3301," Develops students’ ability to express themselves more precisely and fluently. Uses authentic material, whether recorded or written, to encourage discussion. Each course meets five or seven hours per week.", N/A, N/A,3,3
ALIS,321, 322/3111," Equips students to write at greater length using a variety of techniques, including description, comparison, contrast, argumentation, etc. Refines students’ ability to write cohesive summaries. Each course meets three or five hours per week.", N/A, N/A,3,3
