deptCode,courseNum,PredeptCode,PrecourseNum,Prereqtext,isconcurrent
ANTH,3075,SPAM,0," Three hours of Social Sciences.",0
ANTH,3080,SPAM,0,,0
ANTH,3085,SPAM,0," Three hours of Social Sciences.",0
ANTH,3090,SPAM,0," Three hours of Social Sciences.",0
ANTH,3102,SPAM,0," Prerequisites: 9 hours of social sciences and junior or senior standing, or consent of instructor.",0
ANTH,3104,ANTH,3102," N/A",0
ANTH,3105,ANTH,2101," N/A",0
ANTH,3301,SPAM,0," 3 hours of Social Sciences.",0
ANTH,3302,SPAM,0," Three hours of Social Sciences.",0
ANTH,3303,SPAM,0," Three hours of Social Sciences",0
ANTH,3304,SPAM,0," Three hours of Social Sciences",0
ANTH,3305,SPAM,0," Three hours of Social Sciences.",0
ANTH,4015,SPAM,0," Three hours of Anthropology, 6 hours of Social Sciences, and junior or senior standing.",0
ANTH,4020,SPAM,0," 9 hours of social science",0
ANTH,4025,SPAM,0," Prerequisites: 9 hours of social sciences and junior or senior standing.",0
ANTH,4030,SPAM,0," 9 hours of Social Sciences and Junior or Senior standing.",0
ANTH,4050,SPAM,0," Prerequisites: 9 hours of social sciences and junior or senior standing.",0
ANTH,4055,SPAM,0," 9 hours of Social Sciences and Junior or Senior standing.",0
ANTH,4065,SPAM,0," 9 hours of social sciences and junior or senior standing.",0
ANTH,4070,SPAM,0," 9 hours of Social Sciences and Junior or Senior standing.",0
ANTH,4075,SPAM,0," 9 hours of Social Sciences and Junior or Senior standing.",0
ANTH,4099,SPAM,0," Prerequisites: 9 hours of social sciences, and junior or senior standing.",0
ANTH,4107,SPAM,0," Senior standing and",0
ANTH,4203,SPAM,0," Six hours of social sciences or consent of the instructor.",0
ANTH,4405,SPAM,0," Prerequisites: a minimum B average, consent of the instructor, and approval by the unit head and the department chair.",0
ANTH,4560,SPAM,0," 12 credit hours of social science.",0
APLN,5100,SPAM,0," None.",0
APLN,5104,SPAM,0," None.",0
APLN,5132,APLN,5301," N/A",0
APLN,5202,APLN,5201," N/A",0
APLN,5204,APLN,5203," N/A",0
APLN,5206,APLN,5205," N/A",0
APLN,5210,APLN,5203," N/A",0
APLN,5271,SPAM,0," Prerequisite: consent of instructor.",0
APLN,5310,APLN,5100," N/A",0
APLN,5311,APLN,5302," N/A",0
APLN,5312,APLN,5100," N/A",0
APLN,5313,APLN,5100," N/A",0
APLN,5320,APLN,5301," N/A",0
APLN,5321,APLN,5301," N/A",0
APLN,5322,APLN,5301," N/A",0
APLN,5323,APLN,5301," N/A",0
APLN,5330,APLN,5301," N/A",0
APLN,5332,APLN,5100," N/A",0
APLN,5371,SPAM,0," Consent of instructor.",0
APLN,5397,APLN,5100," N/A",0
ARCH,1511,SPAM,0,,0
ARCH,1521,ENGR,1005," N/A",0
ARCH,2211,SPAM,0,,0
ARCH,2221,ARCH,1521," N/A",0
ARCH,2231,PHYS,1011," N/A",0
ARCH,2411,MACT,1121," N/A",0
ARCH,2551,ARCH,1521," N/A",0
ARCH,2552,ARCH,2221," N/A",0
ARCH,3311,CENG,4252," N/A",0
ARCH,3321,ARCH,2551," N/A",0
ARCH,3331,ENGR,2102," N/A",0
ARCH,3522,ARCH,3554," N/A",0
ARCH,3531,ARCH,2411," N/A",0
ARCH,3553,SPAM,0,,0
ARCH,3554,SPAM,0,,0
ARCH,3562,CENG,2251," N/A",0
ARCH,3950,ARCH,2551," N/A",0
ARCH,4312,ARCH,3311," N/A",0
ARCH,4421,ARCH,2552," N/A",0
ARCH,4532,ARCH,3531," N/A",0
ARCH,4541,ARCH,2551," N/A",0
ARCH,4555,ARCH,3554," N/A",0
ARCH,4557,ARCH,4555," N/A",0
ARCH,4558,ARCH,4557," N/A",0
ARCH,4561,ARIC,2205," N/A",0
ARCH,4562,ARCH,4561," N/A",0
ARCH,4570,ARCH,4562," N/A",0
ARCH,4801,ARCH,4562," N/A",0
ARCH,4802,ARCH,4562," N/A",0
ARCH,4803,ARCH,4562," N/A",0
ARCH,4920,SPAM,0," Prerequisite: consent of instructor and department chair on the basis of a well-defined proposal.",0
ARCH,4930,SPAM,0," Prerequisite: senior standing.",0
ARCH,4936,ARCH,4541," N/A",0
ARCH,4937,ARCH,3553," N/A",0
ARCH,4938,ARCH,4532," N/A",0
ARCH,4939,ARCH,3522," N/A",0
ARCH,4951,ARCH,3311," N/A",0
ARCH,4971,SPAM,0," Senior standing",0
ARCH,4972,SPAM,0," Senior standing",0
ARCH,4973,SPAM,0," Senior standing",0
ARCH,4980,ARCH,4557," N/A",0
ARCH,4981,ARCH,4558," N/A",0
ARIC,510,SPAM,0," Consent of instructor.",0
ARIC,512,SPAM,0," Consent of instructor.",0
ARIC,521,SPAM,0," Consent of instructor.",0
ARIC,560,SPAM,0," Consent of instructor.",0
ARIC,575,SPAM,0," Consent of instructor.",0
ARIC,2096,RHET,1000," N/A",0
ARIC,2097,RHET,1000," N/A",0
ARIC,2099,RHET,1000," N/A",0
ARIC,3098,RHET,1020," N/A",0
ARIC,3405,ARIC,2346," N/A",0
ARIC,5101,SPAM,0," Prerequisite: consent of instructor.",0
ARIC,5103,ARIC,2101," N/A",0
ARIC,5127,ARIC,3268," N/A",0
ARIC,5130,ARIC,2101," N/A",0
ARIC,5133,SPAM,0,,0
ARIC,5134,HIST,3213," N/A",0
ARIC,5135,ARIC,3343," N/A",0
ARIC,5136,ARIC,3355," N/A",0
ARIC,5141,SPAM,0," Prerequisite: consent of instructor.",0
ARIC,5142,SPAM,0," Prerequisite: consent of instructor.",0
ARIC,5200,SPAM,0," Prerequisite: consent of unit.",0
ARIC,5219,SPAM,0," Consent of department chair.",0
ARIC,5230,SPAM,0," Prerequisite: consent of instructor.",0
ARIC,5240,ARIC,3435," N/A",0
ARIC,5241,ARIC,3435," N/A",0
ARIC,5242,ARIC,3435," N/A",0
ARIC,5243,ARIC,3435," N/A",0
ARIC,5244,SPAM,0," Pre-requisite: Consent of instructor.",0
ARIC,5245,SPAM,0," Prerequisite: Enrollment in Islamic Studies MA Program.",0
ARTV,2202,ARTV,2201," N/A",0
ARTV,2203,ARTV,2200," N/A",0
ARTV,2206,ARTV,2201," N/A",0
ARTV,2208,SPAM,0," Student should be declared as Visual Art Major.",0
ARTV,2209,SPAM,0," Student should be declared as Visual Arts Major",0
ARTV,2210,SPAM,0," Student should be declared as Visual Arts Major",0
ARTV,3115,ARTV,2113," N/A",0
ARTV,3311,ARTV,2201," N/A",0
ARTV,3312,ARTV,2200," N/A",0
ARTV,3316,ARTV,2214," N/A",0
ARTV,4270,ARTV,4269," N/A",0
ARTV,4311,ARTV,3312," N/A",0
ARTV,4312,ARTV,4311," N/A",0
BADM,3002,MGMT,3201," N/A",0
BADM,3003,BADM,2001," N/A",0
BADM,4001,SPAM,0," All BBA Business Core courses and graduating senior standing.",0
BADM,4900,SPAM,0," All Business Core courses and graduating senior standing",0
BADM,4999,SPAM,0," Junior standing",0
BADM,5310,SPAM,0," All MBA Foundation Courses",0
BADM,5401,SPAM,0," Consent of Instructor.",0
BIOL,1010,SPAM,0," Non-science majors only.",0
BIOL,1012,BIOL,1011," N/A",0
BIOL,1040,SPAM,0," Non-science majors only.",0
BIOL,2090,BIOL,2150," N/A",0
BIOL,2150,BIOL,1011," N/A",0
BIOL,2230,BIOL,2150," N/A",0
BIOL,2320,PHYS,1011," N/A",0
BIOL,2340,BIOL,1011," N/A",0
BIOL,3040,SPAM,0," Prerequisite: Junior or senior standing.",0
BIOL,3130,BIOL,2230," N/A",0
BIOL,3280,CHEM,3006," N/A",0
BIOL,3310,BIOL,2230," N/A",0
BIOL,3326,BIOL,2230," N/A",0
BIOL,3340,BIOL,1012," N/A",0
BIOL,3341,BIOL,2150," N/A",0
BIOL,3360,BIOL,2230," N/A",0
BIOL,3370,BIOL,2230," N/A",0
BIOL,3510,BIOL,1012," N/A",0
BIOL,3540,BIOL,3510," N/A",0
BIOL,3541,SPAM,0," Prerequisites: students must be good swimmers and consent of the instructor.",0
BIOL,3542,SPAM,0," Prerequisite: Junior or Senior standing",0
BIOL,3600,BIOL,1011," N/A",0
BIOL,3601,BIOL,3600," N/A",0
BIOL,4150,BIOL,2230," N/A",0
BIOL,4230,BIOL,2230," N/A",0
BIOL,4330,BIOL,2230," N/A",0
BIOL,4540,SPAM,0,,0
BIOL,4541,BIOL,3510," N/A",0
BIOL,4690,SPAM,0," Prerequisites or corequisites",0
BIOL,4691,BIOL,4690," N/A",0
BIOL,4910,SPAM,0," Prerequisite: consent of the instructor.",0
BIOL,4930,SPAM,0," Prerequisite: consent of the instructor.",0
BIOL,4980,SPAM,0," Senior standing in biology.",0
BIOL,4981,BIOL,4980," N/A",0
BIOT,5203,BIOT,5201," N/A",0
BIOT,5204,BIOT,5203," N/A",0
BIOT,5206,SPAM,0," Prerequisites: Familiarity with molecular biology, calculus, basic probability and statistics.",0
BIOT,5930,SPAM,0," Pre-requisite: consent of instructor, graduate standing.",0
BIOT,5980,SPAM,0," SCI 5940",0
BIOT,6204,BIOT,5203," N/A",0
BIOT,6206,BIOT,5206," N/A",0
BUSC,4000,SPAM,0," Junior standing and consent of the course instructor.",0
CEMS,5202,SPAM,0," Students admitted to the program are ones that would have already conducted at least 30 Cr of management education.",0
CEMS,5203,SPAM,0," For AUC Students :",0
CEMS,5204,SPAM,0," For AUC students :",0
CEMS,5205,SPAM,0," For AUC students:",0
CENG,2251,ENGR,1005," N/A",0
CENG,2311,MACT,1122," N/A",0
CENG,3011,ARCH,3562," N/A",0
CENG,3111,ENGR,2102," N/A",0
CENG,3112,ENGR,2102," N/A",0
CENG,3151,CENG,3112," N/A",0
CENG,3152,CENG,3151," N/A",0
CENG,3153,CENG,3111," N/A",0
CENG,3211,ENGR,2112," N/A",0
CENG,3312,CENG,2311," N/A",0
CENG,3511,ENGR,2122," N/A",0
CENG,4113,CENG,3153," N/A",0
CENG,4154,CENG,4158," N/A",0
CENG,4155,CENG,3153," N/A",0
CENG,4157,CENG,3152," N/A",0
CENG,4158,CENG,3152," N/A",0
CENG,4212,CENG,3211," N/A",0
CENG,4252,SPAM,0,,0
CENG,4253,CENG,4252," N/A",0
CENG,4313,ENGR,2112," N/A",0
CENG,4314,CENG,4313," N/A",0
CENG,4315,CENG,4314," N/A",0
CENG,4351,ENGR,2104," N/A",0
CENG,4352,CENG,4351," N/A",0
CENG,4410,SPAM,0," For construction engineering students:",0
CENG,4420,CENG,4410," N/A",0
CENG,4430,CENG,4410," N/A",0
CENG,4440,CENG,4410," N/A",0
CENG,4450,CENG,4252," N/A",0
CENG,4460,CENG,4420," N/A",0
CENG,4470,CENG,4420," N/A",0
CENG,4551,CENG,3511," N/A",0
CENG,4552,CENG,4313," N/A",0
CENG,4553,CENG,4551," N/A",0
CENG,4554,CENG,3511," N/A",0
CENG,4555,SPAM,0," Pre-requisites: Senior standing.",0
CENG,4556,CENG,4551," N/A",0
CENG,4557,CENG,4352," N/A",0
CENG,4911,SPAM,0," Prerequisite: senior standing.",0
CENG,4921,SPAM,0," Prerequisite: consent of instructor and department chair on the basis of a well-defined proposal.",0
CENG,4951,SPAM,0," Prerequisite: completion of 96 credit hours.",0
CENG,4980,SPAM,0," At least 4 of the 5 following courses",0
CENG,4981,CENG,4980," N/A",0
CENG,5151,SPAM,0," Dept. Approval for undergraduate students",0
CENG,5152,SPAM,0," Department approval for undergraduate students or Admission to CENG graduate programmes",0
CENG,5210,SPAM,0," Prerequisite: consent of instructor.",0
CENG,5225,SPAM,0," Consent of instructor.",0
CENG,5227,SPAM,0," Consent of instructor.",0
CENG,5241,SPAM,0," Consent of instructor.",0
CENG,5242,SPAM,0," Consent of instructor",0
CENG,5243,SPAM,0," Prerequisite: consent of instructor.",0
CENG,5244,SPAM,0," Prerequisite: consent of instructor.",0
CENG,5247,SPAM,0," Consent of instructor.",0
CENG,5264,CENG,5262," N/A",0
CENG,5265,CENG,5262," N/A",0
CENG,5266,CENG,5262," N/A",0
CENG,5267,CENG,5263," N/A",0
CENG,5292,SPAM,0," Prerequisite: consent of instructor.",0
CENG,6211,SPAM,0," Consent of instructor.",0
CENG,6212,SPAM,0," Consent of instructor.",0
CENG,6213,SPAM,0," Consent of instructor.",0
CENG,6222,SPAM,0," Consent of instructor.",0
CENG,6223,CENG,5121," N/A",0
CENG,6231,SPAM,0," Consent of instructor.",0
CHEM,1003,SPAM,0," Not for credit for Science, Engineering and Computer Science Majors",0
CHEM,1005,SPAM,0," Thanawiya Amma Science or equivalent.",0
CHEM,1006,CHEM,1005," N/A",0
CHEM,1015,SPAM,0," Thanawiya Amma Science or equivalent",0
CHEM,1016,CHEM,1015," N/A",0
CHEM,2001,SPAM,0," For science and non-science majors.",0
CHEM,2003,CHEM,1005," N/A",0
CHEM,2005,CHEM,1006," N/A",0
CHEM,2006,CHEM,1006," N/A",0
CHEM,2007,CHEM,1006," N/A",0
CHEM,2016,CHEM,1016," N/A",0
CHEM,2020,CHEM,1005," N/A",0
CHEM,3002,CHEM,1006," N/A",0
CHEM,3003,MACT,2123," N/A",0
CHEM,3004,CHEM,3003," N/A",0
CHEM,3005,CHEM,3003," N/A",0
CHEM,3006,CHEM,2003," N/A",0
CHEM,3009,CHEM,1006," N/A",0
CHEM,3010,CHEM,1016," N/A",0
CHEM,3011,CHEM,2006," N/A",0
CHEM,3013,CHEM,1006," N/A",0
CHEM,3014,CHEM,3013," N/A",0
CHEM,3015,CHEM,3006," N/A",0
CHEM,3016,CHEM,3010," N/A",0
CHEM,3018,CHEM,2016," N/A",0
CHEM,3020,CHEM,1005," N/A",0
CHEM,3025,CHEM,3011," N/A",0
CHEM,3522,CHEM,1006," N/A",0
CHEM,3523,CHEM,3003," N/A",0
CHEM,3940,SPAM,0," Junior standing",0
CHEM,4003,CHEM,3004," N/A",0
CHEM,4004,CHEM,3004," N/A",0
CHEM,4006,CHEM,3006," N/A",0
CHEM,4007,CHEM,1006," N/A",0
CHEM,4008,CHEM,3009," N/A",0
CHEM,4013,CHEM,3014," N/A",0
CHEM,4016,CHEM,3016," N/A",0
CHEM,4025,CHEM,3025," N/A",0
CHEM,4030,CHEM,4016," N/A",0
CHEM,4035,CHEM,4006," N/A",0
CHEM,4040,CHEM,3009," N/A",0
CHEM,4524,SPAM,0," (",0
CHEM,4900,SPAM,0," Senior Standing",0
CHEM,4910,SPAM,0," Prerequisite: consent of instructor, senior standing.",0
CHEM,4930,SPAM,0," Prerequisite: consent of instructor.",0
CHEM,4980,SPAM,0," Senior standing.",0
CHEM,4981,CHEM,4980," N/A",0
CHEM,5212,CHEM,5211," N/A",0
CHEM,5220,CHEM,5201," N/A",0
CHEM,5221,CHEM,5201," N/A",0
CHEM,5222,CHEM,5201," N/A",0
CHEM,5241,CHEM,5205," N/A",0
CHEM,5242,CHEM,5205," N/A",0
CHEM,5910,SPAM,0," Consent of instructor.",0
CHEM,5930,SPAM,0," Consent of instructor",0
CHEM,5980,SPAM,0," SCI 5940",0
CHEM,6103,SPAM,0," Consent of instructor.",0
CHEM,6105,CHEM,5204," N/A",0
CHEM,6107,SPAM,0,,0
CHEM,6240,SPAM,0,,0
CORE,1010,SPAM,0," Taken concurrently with",0
CORE,2099,RHET,1000," N/A",0
CORE,2142,RHET,1020," N/A",0
CORE,4198,RHET,2010," N/A",0
CREL,2096,RHET,1000," N/A",0
CREL,2097,RHET,1000," N/A",0
CREL,2099,RHET,1000," N/A",0
CREL,5609,SPAM,0," Prerequisite: Enrollment in the Islamic Studies MA program.",0
CSCE,1001,SPAM,0," College level preparation course in Mathematics or",0
CSCE,1101,CSCE,1001," N/A",0
CSCE,1102,SPAM,0," Concurrent with",0
CSCE,2202,MACT,2131," N/A",0
CSCE,2203,MACT,2131," N/A",0
CSCE,2301,PHYS,2211," N/A",0
CSCE,2302,SPAM,0," Concurrent with",0
CSCE,2303,CSCE,1101," N/A",0
CSCE,2501,CSCE,1101," N/A",0
CSCE,2502,SPAM,0," Prerequisite: Sophomore standing or higher.",0
CSCE,3101,CSCE,1001," N/A",0
CSCE,3102,CSCE,1101," N/A",0
CSCE,3103,CSCE,1101," N/A",0
CSCE,3104,CSCE,1101," N/A",0
CSCE,3301,CSCE,2301," N/A",0
CSCE,3302,SPAM,0," Prerequisite: Concurrent with",0
CSCE,3303,PHYS,2211," N/A",0
CSCE,3304,CSCE,2301," N/A",0
CSCE,3311,CSCE,1101," N/A",0
CSCE,3312,PHYS,2211," N/A",0
CSCE,3313,SPAM,0," Concurrent with",0
CSCE,3401,CSCE,2303," N/A",0
CSCE,3402,CSCE,1101," N/A",0
CSCE,3421,CSCE,1001," N/A",0
CSCE,3422,CSCE,1101," N/A",0
CSCE,3601,CSCE,2202," N/A",0
CSCE,3611,PHYS,2211," N/A",0
CSCE,3701,CSCE,1101," N/A",0
CSCE,4101,CSCE,3104," N/A",0
CSCE,4201,MACT,2131," N/A",0
CSCE,4301,CSCE,3301," N/A",0
CSCE,4302,SPAM,0," Concurrent with",0
CSCE,4313,CSCE,3311," N/A",0
CSCE,4314,SPAM,0," Concurrent with",0
CSCE,4411,CSCE,3401," N/A",0
CSCE,4421,CSCE,3401," N/A",0
CSCE,4501,CSCE,2501," N/A",0
CSCE,4502,CSCE,2501," N/A",0
CSCE,4503,MOIS,2101," N/A",0
CSCE,4602,CSCE,1101," N/A",0
CSCE,4603,CSCE,1101," N/A",0
CSCE,4604,CSCE,2202," N/A",0
CSCE,4621,CSCE,1101," N/A",0
CSCE,4701,CSCE,3701," N/A",0
CSCE,4702,CSCE,3701," N/A",0
CSCE,4910,SPAM,0," Prerequisite: consent of instructor.",0
CSCE,4930,SPAM,0," Junior standing or higher.",0
CSCE,4950,SPAM,0," Junior standing and approval of instructor.",0
CSCE,4980,SPAM,0," Instructor approval",0
CSCE,4981,CSCE,4980," N/A",0
CSCE,5231,CSCE,3301," N/A",0
CSCE,5242,CSCE,5231," N/A",0
CSCE,5243,CSCE,5241," N/A",0
CSCE,5245,SPAM,0," Consent of instructor",0
CSCE,5266,SPAM,0," Approval of Instructor.",0
CSCE,5910,SPAM,0," Consent of instructor",0
CSCE,5930,SPAM,0," Prerequisite: permission of instructor.",0
CSCE,5980,SPAM,0," Prerequisite: consent of instructor.",0
CSCE,6231,SPAM,0," Approval of Instructor.",0
CSCE,6261,SPAM,0," Consent of instructor.",0
DSCI,1412,DSCI,1411," N/A",0
DSCI,2411,DSCI,1412," N/A",0
DSCI,3411,DSCI,1412," N/A",0
DSCI,3413,MACT,4231," N/A",0
DSCI,3415,MACT,3223," N/A",0
DSCI,4411,DSCI,3415," N/A",0
DSCI,4412,DSCI,1412," N/A",0
DSCI,4413,MACT,2132," N/A",0
DSCI,4415,DSCI,3415," N/A",0
DSCI,4416,SPAM,0," Senior standing",0
DSCI,4417,DSCI,4416," N/A",0
DSCI,4950,SPAM,0," Consent of department chair or program director.",0
DSGN,2115,DSGN,2113," N/A",0
DSGN,2201,DSGN,2200," N/A",0
DSGN,2202,DSGN,2201," N/A",0
DSGN,2210,DSGN,2200," N/A",0
DSGN,2250,DSGN,2200," N/A",0
DSGN,3117,DSGN,2113," N/A",0
DSGN,3203,DSGN,2201," N/A",0
DSGN,3204,DSGN,2201," N/A",0
DSGN,3205,DSGN,2201," N/A",0
DSGN,3213,SPAM,0,,0
DSGN,3220,DSGN,2210," N/A",0
DSGN,3230,DSGN,3220," N/A",0
DSGN,3235,DSGN,3250," N/A",0
DSGN,3250,DSGN,2250," N/A",0
DSGN,3265,DSGN,2210," N/A",0
DSGN,3270,SPAM,0," Consent of Instructor",0
DSGN,4200,SPAM,0," Completion of all Major Courses.",0
DSGN,4210,SPAM,0," Completion of all major courses.",0
DSGN,4220,DSGN,2201," N/A",0
DSGN,4269,SPAM,0,,0
DSGN,4270,DSGN,4269," N/A",0
DSGN,4302,SPAM,0," Consent of instructor.",0
DSGN,5115,DSGN,2115," N/A",0
ECLT,2096,RHET,1000," N/A",0
ECLT,2097,RHET,1000," N/A",0
ECLT,2099,RHET,1000," N/A",0
ECNG,1501,CSCE,1001," N/A",0
ECNG,1502,CSCE,1001," N/A",0
ECNG,2101,CSCE,1001," N/A",0
ECNG,2105,PHYS,1021," N/A",0
ECNG,2106,ECNG,2105," N/A",0
ECNG,3105,ECNG,2106," N/A",0
ECNG,3106,ECNG,3105," N/A",0
ECNG,3108,ECNG,2101," N/A",0
ECNG,3201,ECNG,2106," N/A",0
ECNG,3202,ECNG,3201," N/A",0
ECNG,3401,PHYS,2221," N/A",0
ECNG,3503,SPAM,0,,0
ECNG,3601,ECNG,2106," N/A",0
ECNG,4101,SPAM,0," Prerequisite: consent of instructor.",0
ECNG,4103,ECNG,2101," N/A",0
ECNG,4104,ECNG,3105," N/A",0
ECNG,4105,ECNG,3106," N/A",0
ECNG,4301,ECNG,3201," N/A",0
ECNG,4302,ECNG,4301," N/A",0
ECNG,4306,ECNG,4301," N/A",0
ECNG,4308,ECNG,4301," N/A",0
ECNG,4310,ECNG,3401," N/A",0
ECNG,4312,ECNG,4302," N/A",0
ECNG,4402,ENGR,1005," N/A",0
ECNG,4407,ECNG,4402," N/A",0
ECNG,4504,ECNG,3503," N/A",0
ECNG,4505,ECNG,2101," N/A",0
ECNG,4506,SPAM,0,,0
ECNG,4601,SPAM,0," Senior level standing.",0
ECNG,4920,SPAM,0," Consent of instructor and departmental approval",0
ECNG,4930,SPAM,0," Senior standing.",0
ECNG,4950,SPAM,0," Completion of 8 weeks of industrial training AFTER the completion of 100 credit hours",0
ECNG,4980,SPAM,0," Prerequisite: senior standing.",0
ECNG,4981,ECNG,4980," N/A",0
ECNG,5210,SPAM,0," Graduate standing in engineering and physics. Electromagnetics, vector algebra, differential equations, and MATLAB programming.",0
ECNG,5214,ECNG,3105," N/A",0
ECNG,5216,ECNG,3106," N/A",0
ECNG,5217,ECNG,3105," N/A",0
ECNG,5218,ECNG,3108," N/A",0
ECNG,5219,ECNG,3108," N/A",0
ECNG,5223,ECNG,3503," N/A",0
ECNG,5225,ECNG,3201," N/A",0
ECNG,5226,ECNG,3202," N/A",0
ECNG,5230,MACT,3224," N/A",0
ECNG,5231,ECNG,4302," N/A",0
ECNG,5233,ECNG,4302," N/A",0
ECNG,5234,ECNG,5230," N/A",0
ECNG,5236,ECNG,4302," N/A",0
ECNG,5238,ECNG,4306," N/A",0
ECNG,5241,ECNG,4402," N/A",0
ECNG,5247,ECNG,5241," N/A",0
ECNG,5248,ECNG,5241," N/A",0
ECNG,5249,ECNG,5241," N/A",0
ECNG,6219,SPAM,0," Consent of instructor.",0
ECNG,6235,ECNG,5230," N/A",0
ECNG,6930,SPAM,0," Consent of instructor.",0
ECNG,6931,ECNG,5233," N/A",0
ECON,1099,RHET,1000," N/A",0
ECON,2061,MACT,1111," N/A",0
ECON,2081,MACT,2222," N/A",0
ECON,3011,SPAM,0," For Economics students",0
ECON,3021,ECON,2021," N/A",0
ECON,3041,FINC,2101," N/A",0
ECON,3053,ECON,2021," N/A",0
ECON,3054,ECON,2021," N/A",0
ECON,3055,ECON,2021," N/A",0
ECON,3061,MACT,1122," N/A",0
ECON,3071,ECON,2021," N/A",0
ECON,3081,ECON,2081," N/A",0
ECON,4000,SPAM,0," Consent of instructor and unit head, senior standing.",0
ECON,4002,SPAM,0," Senior Standing.",0
ECON,4012,ECON,2011," N/A",0
ECON,4013,ECON,2011," N/A",0
ECON,4014,ECON,2021," N/A",0
ECON,4015,ECON,3081," N/A",0
ECON,4031,ECON,3021," N/A",0
ECON,4041,ECON,2081," N/A",0
ECON,4050,SPAM,0," Minimum junior standing.",0
ECON,4051,ECON,2021," N/A",0
ECON,4061,ECON,3061," N/A",0
ECON,4081,ECON,3081," N/A",0
ECON,4082,SPAM,0," Concurrent with",0
ECON,4091,ECON,2021," N/A",0
ECON,4094,ECON,2021," N/A",0
ECON,4099,SPAM,0," Pre-requisites vary depending on the topic of the course",0
ECON,5201,ECON,5211," N/A",0
ECON,5211,ECON,4061," N/A",0
ECON,5213,ECON,5251," N/A",0
ECON,5215,ECON,3011," N/A",0
ECON,5217,ECON,4061," N/A",0
ECON,5219,SPAM,0,,0
ECON,5221,ECON,4061," N/A",0
ECON,5231,ECON,5251," N/A",0
ECON,5233,ECON,5221," N/A",0
ECON,5241,ECON,4061," N/A",0
ECON,5242,ECON,4081," N/A",0
ECON,5254,SPAM,0,,0
ECON,5256,ECON,5251," N/A",0
ECON,5257,SPAM,0," (",0
ECON,5259,SPAM,0," Completion of at least 3 core courses.",0
ECON,5261,ECON,4061," N/A",0
ECON,5281,ECON,4081," N/A",0
ECON,5299,SPAM,0," Consent of instructor",0
EDUC,3031,EDUC,2011," N/A",0
EDUC,5233,EDUC,5201," N/A",0
EDUC,5265,PSYC,5205," N/A",0
EDUC,5288,SPAM,0," Final semester before graduation",0
